,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,last_owned
8313,SOLD,250000,3.0,2.0,127.49,Hankey Mull Rd,New Lebanon,New York,12125.0,1804.0,Not Owned
8314,SOLD,115000,3.0,2.0,8.4,67 River St,Chatham,New York,12037.0,3200.0,Not Owned
8315,SOLD,406000,2.0,2.0,127.0,3201 State Rt # 20,Nassau,New York,12123.0,1556.0,Not Owned
8316,SOLD,89000,3.0,2.0,1.84,3 and 5 Pegs Way,Thomaston,Connecticut,6787.0,1200.0,Not Owned
8317,SOLD,850000,3.0,3.0,18.46,NW Hill Rd,Williamstown,Massachusetts,1267.0,1200.0,Not Owned
8318,SOLD,250000,3.0,2.0,9.4,12 Pioneer Dr,Copake,New York,12516.0,1482.0,Not Owned
8319,SOLD,895000,3.0,2.0,43.46,Route 7,Copake,New York,12516.0,1482.0,Not Owned
8320,SOLD,2100000,3.0,1.0,102.0,Bates Rd,Claverack,New York,12513.0,1800.0,Not Owned
8321,SOLD,1300000,3.0,2.0,127.0,925 E Ancram Rd,Ancram,New York,12503.0,1200.0,Not Owned
8322,SOLD,79000,3.0,2.0,9.06,Bashford Rd,Chatham,New York,12184.0,3200.0,Not Owned
8323,SOLD,59900,2.0,1.0,9.02,Church Hollow Rd,Petersburgh,New York,12138.0,1200.0,Not Owned
8324,SOLD,52000,3.0,2.0,5.9,Wadsworth Rd,New Lebanon,New York,12125.0,1804.0,Not Owned
8325,SOLD,150000,3.0,1.0,12.5,Northwest Hl,Pownal,Vermont,5261.0,2584.0,Not Owned
8326,SOLD,19900,2.0,2.0,2.09,Dyken Pond Rd,Berlin,New York,99999.0,1525.0,Not Owned
8327,SOLD,180000,3.0,2.0,35.0,35 Drowne Rd,Chatham,New York,12136.0,3200.0,Not Owned
8328,SOLD,295000,10.0,5.0,1.0,3815 Route 20,Schodack Landing,New York,12123.0,5100.0,Not Owned
8329,SOLD,151999,3.0,3.0,13.2,14 Jasmine Road,Stephentown,New York,12168.0,3092.0,Not Owned
8330,SOLD,109000,3.0,2.0,0.36,Lake Vw,Copake,New York,12516.0,1482.0,Not Owned
8331,SOLD,698000,3.0,2.0,5.03,4 Old Farm Rd Lot 4,Ghent,New York,12075.0,1735.0,Not Owned
8332,SOLD,3000000,4.0,3.0,96.63,21 Ives Rd,Goshen,Connecticut,6756.0,2900.0,1/17/2012
8333,SOLD,277000,4.0,3.0,0.33,110 Hudson Ave,Chatham Village,New York,12037.0,2250.0,1/13/2022
8334,SOLD,399000,3.0,3.0,43.8,79 Craryville Rd,Craryville,New York,12521.0,2899.0,Not Owned
8335,SOLD,850000,4.0,3.0,14.33,135 Allyn Rd,Goshen,Connecticut,6756.0,1536.0,Not Owned
8336,SOLD,595000,3.0,2.0,51.52,Letters Rd S,Ghent,New York,12075.0,1762.0,Not Owned
8337,SOLD,28000,3.0,1.0,0.74,23 Asas Way,Bennington,Vermont,5257.0,1144.0,12/19/2019
8338,SOLD,750000,3.0,4.0,16.41,Rte 44 Main Street Rd,Salisbury,Connecticut,6068.0,2178.0,Not Owned
8339,SOLD,795000,3.0,2.0,29.61,25 Bowne Rd,Sharon,Connecticut,6069.0,1200.0,Not Owned
8340,SOLD,1000000,3.0,2.0,25.8,120 East St,Sharon,Connecticut,6069.0,1200.0,Not Owned
8341,SOLD,180000,3.0,1.0,8.4,229 US Route 7,Pownal,Vermont,5261.0,2010.0,Not Owned
8342,SOLD,199000,5.0,2.0,1.5,8 Mill Rd,New Lebanon,New York,12125.0,2360.0,6/17/2002
8343,SOLD,43000,2.0,2.0,8.37,Lot 2A Marpe Rd Lot 2A,Pittstown,New York,12094.0,1200.0,Not Owned
8344,SOLD,485000,3.0,2.0,1.1,87 Gay St,Sharon,Connecticut,6069.0,2186.0,6/28/2000
8345,SOLD,29999,3.0,3.0,3.63,Michelle Way,Stephentown,New York,12168.0,3092.0,Not Owned
8346,SOLD,39900,3.0,2.0,4.12,W Hill Rd Lot 11,New Lebanon,New York,12125.0,1804.0,Not Owned
8347,SOLD,25000,3.0,2.0,1.54,N Rice Ln,White Creek,New York,12816.0,1200.0,Not Owned
8348,SOLD,49000,3.0,3.0,5.83,11 Jasmine Rd,Stephentown,New York,12168.0,3092.0,Not Owned
8349,SOLD,399900,2.0,1.0,119.6,Lewis Hollow Rd,Petersburgh,New York,12138.0,1200.0,Not Owned
8350,SOLD,129900,3.0,2.0,40.0,W Hill Rd Lot 8,New Lebanon,New York,12125.0,1804.0,Not Owned
8351,SOLD,25000,3.0,2.0,0.22,26 Saratoga St,Hoosick,New York,12090.0,1200.0,Not Owned
8352,SOLD,25000,3.0,2.0,0.22,28 Saratoga St,Hoosick,New York,12090.0,1200.0,Not Owned
8353,SOLD,25000,3.0,2.0,0.22,30 Saratoga St,Hoosick,New York,12090.0,1200.0,Not Owned
8354,SOLD,34900,2.0,2.0,2.0,480 Dunham Hollow Rd,Nassau,New York,12018.0,1556.0,Not Owned
8355,SOLD,500000,3.0,3.0,32.0,Bate Rd,Craryville,New York,12513.0,2899.0,Not Owned
8356,SOLD,109000,4.0,3.0,2.42,12 Meadowcrest Dr N,Goshen,Connecticut,6756.0,1536.0,Not Owned
8357,SOLD,115000,3.0,3.0,15.99,15 Jasmine Rd,Stephentown,New York,12168.0,3092.0,Not Owned
8358,SOLD,80000,3.0,2.0,1.5,Route 66,Chatham,New York,12037.0,3200.0,Not Owned
8359,SOLD,85000,3.0,1.0,12.0,Green Acres Rd,Claverack,New York,12513.0,1800.0,Not Owned
8360,SOLD,159900,3.0,2.0,0.23,26 Seward St,Hoosick,New York,12090.0,2400.0,6/16/2009
8361,SOLD,144900,2.0,1.0,1.1,1081 Washington County Route 68,White Creek,New York,12057.0,2780.0,Not Owned
8362,SOLD,7950000,7.0,6.0,134.39,181 Golf Course Rd,Craryville,New York,12521.0,4035.0,Not Owned
8363,SOLD,85000,2.0,2.0,18.6,569 Central Nassau Rd,Nassau,New York,12123.0,1556.0,Not Owned
8364,SOLD,94900,3.0,3.0,17.77,West Rd,Stephentown,New York,12168.0,3092.0,Not Owned
8365,SOLD,59000,3.0,1.0,6.0,Route 22,Millerton,New York,12546.0,1200.0,Not Owned
8366,SOLD,169900,4.0,3.0,74.65,Pine Rd,Grafton,New York,12138.0,1892.0,Not Owned
8367,SOLD,2600000,4.0,6.0,182.78,299 Hinman Rd,Bethlehem,Connecticut,6751.0,7215.0,Not Owned
8368,SOLD,129900,3.0,2.0,40.0,W Hill Rd,New Lebanon,New York,12125.0,1804.0,Not Owned
8369,SOLD,215000,4.0,3.0,1.0,704 Us Rt # 20,New Lebanon,New York,12125.0,2148.0,Not Owned
8370,SOLD,699000,15.0,14.0,2.37,31 North St,Litchfield,Connecticut,6759.0,8216.0,Not Owned
8371,SOLD,1999500,5.0,5.0,45.8,167 New Concord Rd,Chatham,New York,12060.0,6518.0,5/6/1999
8372,SOLD,495000,4.0,2.0,37.5,882 E Ancram Rd,Ancram,New York,12503.0,1767.0,Not Owned
8373,SOLD,975000,3.0,4.0,20.0,12 Richards Rd,Litchfield,Connecticut,6759.0,2988.0,6/27/2018
8374,SOLD,199000,4.0,1.0,25.0,96 Stoddard Rd,Morris,Connecticut,6763.0,1200.0,Not Owned
8375,SOLD,495000,5.0,2.0,45.0,887 E Ancram Rd,Ancram,New York,12503.0,2263.0,Not Owned
8376,SOLD,145000,3.0,2.0,16.65,Albany Tpke,Chatham,New York,12136.0,3200.0,Not Owned
8377,SOLD,135000,3.0,2.0,8.0,63 Drowne Rd,Chatham,New York,12136.0,3200.0,Not Owned
8378,SOLD,325000,3.0,3.0,25.4,41 Town Hill Rd,Warren,Connecticut,6754.0,1200.0,Not Owned
8379,SOLD,450000,3.0,6.0,0.5,1121 Route 295,East Chatham,New York,12060.0,7022.0,Not Owned
8380,SOLD,49000,3.0,1.0,0.39,9 Carey Ave,Hoosick Falls,New York,12090.0,1161.0,Not Owned
8381,SOLD,244900,2.0,1.0,0.6,374 Torrington Rd,Litchfield,Connecticut,6759.0,1064.0,3/20/2007
8382,SOLD,125000,3.0,2.0,15.0,Us Rt # 20,Schodack Landing,New York,12123.0,1200.0,Not Owned
8383,SOLD,60000,3.0,3.0,18.0,18 Acres Ny 43,Stephentown,New York,12168.0,3092.0,Not Owned
8384,SOLD,60000,3.0,3.0,18.0,L7 NY 43,Stephentown,New York,12168.0,3092.0,Not Owned
8385,SOLD,44000,2.0,1.0,5.6,155 Thistle Hill Rd,Petersburgh,New York,12138.0,1200.0,Not Owned
8386,SOLD,270000,2.0,2.0,6.69,99 Wildernesses Way,Stephentown,New York,12169.0,1000.0,6/23/2000
8387,SOLD,49900,3.0,2.0,1.82,8 Sunrise Dr,Hoosick,New York,12090.0,1200.0,11/7/2005
8388,SOLD,299000,3.0,2.0,1.1,1775 NY 66 Rd,Ghent,New York,12075.0,1748.0,Not Owned
8389,SOLD,74900,4.0,3.0,6.62,96 Lake Camp Way,Grafton,New York,12082.0,1892.0,Not Owned
8390,SOLD,479900,4.0,3.0,0.99,12 Valley View Rd,Thomaston,Connecticut,6787.0,3063.0,Not Owned
8391,SOLD,895000,3.0,5.0,7.23,136 Belgo Rd,Salisbury,Connecticut,6039.0,3354.0,Not Owned
8392,SOLD,150000,3.0,2.0,2.41,10 Guinea Rd,Sharon,Connecticut,6069.0,1200.0,3/5/2010
8393,SOLD,640000,5.0,4.0,7.08,346 McCagg Rd,Kinderhook,New York,12184.0,1968.0,7/14/1993
8394,SOLD,899000,3.0,2.0,1.9,1366-1380 Burden Lake Rd,Sand Lake,New York,12018.0,5254.0,Not Owned
8395,SOLD,799000,4.0,2.0,100.0,63 Hoags Corners Rd,Nassau,New York,12123.0,2976.0,Not Owned
8396,SOLD,325000,2.0,1.0,159.13,121 Church Hollow Rd,Petersburgh,New York,12138.0,1200.0,Not Owned
